No,Kode Sampel,TSS (mg/L)
1,11A,49.81549815498155
2,11B,66.66666666666667
3,11C,55.04587155963303
4,20A,74.07407407407408
5,20C,120.37037037037037
6,21A,56.88073394495413
7,21B,101.01010101010101
8,22A,171.00371747211895
9,22B,191.57894736842104
10,22C,163.26530612244898
11,23A,501.0526315789474
12,23B,363.46153846153845
13,23C,639.2523364485982
14,24A,175.92592592592592
15,24B,189.16
16,24C,183.50515463917523
17,3 Atas,22.018348623853214
18,3 Tengah,25.225225225225223
19,3 Permukaan,60.550458715596335
20,3 Bawah,28.82882882882883
21,4 Permukaan,41.44144144144144
22,4 Tengah,37.83783783783784
23,4 Dasar,40.07285974499089
24,5 Atas,73.21428571428572
25,5 Dasar,85.45454545454545
26,5 Tengah,79.3103448275862
27,7 Dasar,72.72727272727272
28,7 Tengah,21.428571428571427
29,7 Permukaan,67.27272727272728
30,8 Tengah,89.0909090909091
31,8 Permukaan,87.27272727272728
32,8 Dasar,89.0909090909091
33,9 Permukaan,38.53211009174312
34,9 Tengah,34.862385321100916
35,9 Dasar,30.90909090909091
36,13 Tengah,57.14285714285714
37,13 Dasar,70.37037037037038
38,17 Dasar,34.54545454545455
39,17 Permukaan,27.522935779816514
40,17 Tengah,46.846846846846844
41,Lautang 10 Atas,18.18181818181818
42,Lautang 10 Bawah,21.81818181818182
43,Lautang 10 Tengah,21.81818181818182
44,Lautang 25 Atas,48.64864864864865
45,Lautang 25 Bawah,56.36363636363637
46,Lautang 25 Tengah,49.090909090909086
47,Leppangeng 18 Atas,41.81818181818182
48,Leppangeng 18 Bawah,41.81818181818182
49,Leppangeng 18 Tengah,37.5
50,Pingceput 14 Atas,55.04587155963303
51,Pingceput 14 Bawah,103.57142857142858
52,Pingceput 14 Tengah,60.10928961748633
53,ujunge 15 Atas,139.7459165154265
54,ujunge 15 Bawah,159.42028985507244
55,ujunge 15 Tengah,150.9090909090909
56,Wajo 2 Atas,214.54545454545453
57,Wajo 2 Bawah,209.09090909090907
58,wajo 2 Tengah,218.18181818181816
59,Watalipu 16 Tengah,63.63636363636363
60,Watalipu 16 Tengah,54.54545454545454
61,Watalipu 16 Bawah,74.54545454545455
